Provincia,Localidad,Cantidad
Ciudad de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,1286
Santa Fe,ROSARIO,252
Córdoba,CORDOBA,233
Provincia de Buenos Aires,MAR DEL PLATA,208
Provincia de Buenos Aires,LA PLATA,151
Provincia de Buenos Aires,BAHIA BLANCA,137
Chubut,COMODORO RIVADAVIA,128
Río Negro,SAN CARLOS DE BARILOCHE,124
Provincia de Buenos Aires,PUNTA ALTA,101
Neuquén,NEUQUEN,81
Provincia de Buenos Aires,TANDIL,78
Entre Ríos,PARANA,77
Mendoza,SAN RAFAEL,77
Provincia de Buenos Aires,QUILMES,76
Salta,SALTA,73
Tierra del Fuego A. e I.A.S.,USHUAIA,72
Santa Cruz,RIO GALLEGOS,66
Entre Ríos,GUALEGUAYCHU,62
Provincia de Buenos Aires,NECOCHEA,62
Provincia de Buenos Aires,LOMAS DE ZAMORA,61
Chubut,TRELEW,59
Córdoba,VILLA CARLOS PAZ,55
Chaco,RESISTENCIA,55
Provincia de Buenos Aires,MORON,53
Entre Ríos,GUALEGUAY,53
Provincia de Buenos Aires,BANFIELD,52
Provincia de Buenos Aires,MERLO,52
Provincia de Buenos Aires,ITUZAINGO,52
Río Negro,GENERAL ROCA,51
Provincia de Buenos Aires,MIRAMAR,50
Corrientes,CORRIENTES,49
Santiago del Estero,SANTIAGO DEL ESTERO,49
Provincia de Buenos Aires,BERAZATEGUI,48
Córdoba,RIO CUARTO,47
Santa Fe,SANTA FE,47
Provincia de Buenos Aires,VILLA BALLESTER,47
Provincia de Buenos Aires,SAN MIGUEL,46
Entre Ríos,CONCORDIA,45
Provincia de Buenos Aires,RAMOS MEJIA,44
Misiones,POSADAS,44
Provincia de Buenos Aires,TEMPERLEY,43
Provincia de Buenos Aires,LANUS OESTE,43
Provincia de Buenos Aires,PERGAMINO,42
Provincia de Buenos Aires,CASEROS,42
Provincia de Buenos Aires,SAN NICOLAS DE LOS ARROYOS,42
Provincia de Buenos Aires,MONTE GRANDE,41
Mendoza,GODOY CRUZ,41
Provincia de Buenos Aires,MORENO,41
Provincia de Buenos Aires,CASTELAR,41
San Luis,SAN LUIS,40
Córdoba,ALTA GRACIA,39
Provincia de Buenos Aires,9 DE JULIO,37
Provincia de Buenos Aires,GENERAL RODRIGUEZ,37
Santa Fe,RAFAELA,36
Provincia de Buenos Aires,SAN PEDRO,35
Provincia de Buenos Aires,PINAMAR,34
Provincia de Buenos Aires,CAMPANA,34
Provincia de Buenos Aires,OLAVARRIA,34
Córdoba,VILLA MARIA,33
La Rioja,LA RIOJA,33
Mendoza,MENDOZA,33
Tucumán,SAN MIGUEL DE TUCUMAN,32
Provincia de Buenos Aires,QUILMES OESTE,32
Chubut,RADA TILLY,31
Provincia de Buenos Aires,OLIVOS,31
Mendoza,LAS HERAS,31
Córdoba,MINA CLAVERO,31
Provincia de Buenos Aires,PEHUAJO,30
Provincia de Buenos Aires,LANUS,30
La Pampa,SANTA ROSA,29
Provincia de Buenos Aires,SALADILLO,29
Tierra del Fuego A. e I.A.S.,RIO GRANDE,28
Río Negro,CIPOLLETTI,28
Provincia de Buenos Aires,MARTINEZ,28
