Provincia,Localidad,Cantidad,Latitud,Longitud,direccion_completa
Ciudad de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,1286,-34.6083696,-58.4440583,"Ciudad de Buenos Aires, CIUDAD AUTONOMA DE BUENOS AIRES"
Santa Fe,ROSARIO,252,-32.9593609,-60.6617024,"Santa Fe, ROSARIO"
Córdoba,CORDOBA,233,37.8845813,-4.7760138,"Córdoba, CORDOBA"
Provincia de Buenos Aires,MAR DEL PLATA,208,-37.9976168,-57.5482079,"Provincia de Buenos Aires, MAR DEL PLATA"
Provincia de Buenos Aires,LA PLATA,151,-34.9206797,-57.9537638,"Provincia de Buenos Aires, LA PLATA"
Provincia de Buenos Aires,BAHIA BLANCA,137,-38.7176522,-62.2654871,"Provincia de Buenos Aires, BAHIA BLANCA"
Chubut,COMODORO RIVADAVIA,128,-45.8632024,-67.4752615,"Chubut, COMODORO RIVADAVIA"
Río Negro,SAN CARLOS DE BARILOCHE,124,-41.1334781,-71.3101474,"Río Negro, SAN CARLOS DE BARILOCHE"
Provincia de Buenos Aires,PUNTA ALTA,101,-38.8804693,-62.0744033,"Provincia de Buenos Aires, PUNTA ALTA"
Neuquén,NEUQUEN,81,-38.9519679,-68.0591741,"Neuquén, NEUQUEN"
Provincia de Buenos Aires,TANDIL,78,-37.3282887,-59.1356957,"Provincia de Buenos Aires, TANDIL"
Entre Ríos,PARANA,77,-31.7330145,-60.5298511,"Entre Ríos, PARANA"
Mendoza,SAN RAFAEL,77,-34.6126025,-68.3305140,"Mendoza, SAN RAFAEL"
Provincia de Buenos Aires,QUILMES,76,-34.7303025,-58.2688680,"Provincia de Buenos Aires, QUILMES"
Salta,SALTA,73,-24.7892946,-65.4103194,"Salta, SALTA"
Tierra del Fuego A. e I.A.S.,USHUAIA,72,-54.8255271,-68.3282413,"Tierra del Fuego A. e I.A.S., USHUAIA"
Santa Cruz,RIO GALLEGOS,66,-51.6268852,-69.1058040,"Santa Cruz, RIO GALLEGOS"
Entre Ríos,GUALEGUAYCHU,62,-33.0078908,-58.5109859,"Entre Ríos, GUALEGUAYCHU"
Provincia de Buenos Aires,NECOCHEA,62,-38.5545494,-58.7392624,"Provincia de Buenos Aires, NECOCHEA"
Provincia de Buenos Aires,LOMAS DE ZAMORA,61,-34.7572582,-58.4026638,"Provincia de Buenos Aires, LOMAS DE ZAMORA"
Chubut,TRELEW,59,-43.2531242,-65.3094407,"Chubut, TRELEW"
Córdoba,VILLA CARLOS PAZ,55,-31.4183774,-64.4936985,"Córdoba, VILLA CARLOS PAZ"
Chaco,RESISTENCIA,55,-27.6048829,-59.1932003,"Chaco, RESISTENCIA"
Provincia de Buenos Aires,MORON,53,-34.6510527,-58.6217416,"Provincia de Buenos Aires, MORON"
Entre Ríos,GUALEGUAY,53,-33.1504259,-59.3106789,"Entre Ríos, GUALEGUAY"
Provincia de Buenos Aires,BANFIELD,52,-34.7437455,-58.3960811,"Provincia de Buenos Aires, BANFIELD"
Provincia de Buenos Aires,MERLO,52,-34.6604988,-58.7321695,"Provincia de Buenos Aires, MERLO"
Provincia de Buenos Aires,ITUZAINGO,52,-34.6583293,-58.6671441,"Provincia de Buenos Aires, ITUZAINGO"
Río Negro,GENERAL ROCA,51,-39.0268342,-67.5754674,"Río Negro, GENERAL ROCA"
Provincia de Buenos Aires,MIRAMAR,50,-38.2704349,-57.8387997,"Provincia de Buenos Aires, MIRAMAR"
Corrientes,CORRIENTES,49,-27.4687004,-58.8311982,"Corrientes, CORRIENTES"
Santiago del Estero,SANTIAGO DEL ESTERO,49,-27.7877148,-64.2595062,"Santiago del Estero, SANTIAGO DEL ESTERO"
Provincia de Buenos Aires,BERAZATEGUI,48,-34.7632677,-58.2116604,"Provincia de Buenos Aires, BERAZATEGUI"
Córdoba,RIO CUARTO,47,-33.1237585,-64.3489782,"Córdoba, RIO CUARTO"
Santa Fe,SANTA FE,47,35.6876096,-105.9384560,"Santa Fe, SANTA FE"
Provincia de Buenos Aires,VILLA BALLESTER,47,-34.5483812,-58.5564925,"Provincia de Buenos Aires, VILLA BALLESTER"
Provincia de Buenos Aires,SAN MIGUEL,46,-34.5403490,-58.7157491,"Provincia de Buenos Aires, SAN MIGUEL"
Entre Ríos,CONCORDIA,45,-31.3401914,-58.0263642,"Entre Ríos, CONCORDIA"
Provincia de Buenos Aires,RAMOS MEJIA,44,-34.6481661,-58.5622869,"Provincia de Buenos Aires, RAMOS MEJIA"
